mood,acousticness,danceability,energy,instrumentalness,key,mode,tempo,valence
neutral,0.909,0.589,0.311,0,7,1,138.165,0.438
neutral,0.129,0.613,0.488,2.13e-05,8,1,172.076,0.183
neutral,0.815,0.837,0.356,0.00206,9,0,133.025,0.618
neutral,0.156,0.682,0.683,2.32e-05,8,0,120.023,0.64
neutral,0.778,0.621,0.393,0.00703,1,1,113.925,0.53
neutral,0.57,0.428,0.439,0,5,1,150.007,0.418
neutral,0.619,0.755,0.292,1.34e-06,0,0,110.005,0.437
neutral,0.662,0.686,0.456,8.93e-06,0,1,96.889,0.569
neutral,0.78,0.821,0.384,0.00138,11,1,87.978,0.79
neutral,0.469,0.913,0.459,0.000889,5,1,114.996,0.848
neutral,0.157,0.749,0.447,0.000159,5,0,141.923,0.548
neutral,0.049,0.75,0.585,0.00552,9,0,102.331,0.584
neutral,0.231,0.759,0.646,0,1,1,111.043,0.445
neutral,0.808,0.524,0.364,0,7,1,75.24,0.436
neutral,0.0292,0.824,0.68,0.835,5,1,125.961,0.67
neutral,0.498,0.726,0.624,0.0294,2,0,114.99,0.573
neutral,0.748,0.457,0.411,0.0295,0,1,178.176,0.259
neutral,0.634,0.525,0.526,0.127,5,1,85.274,0.562
neutral,0.181,0.348,0.586,0.345,10,1,54.759,0.347
neutral,0.342,0.684,0.856,0.00728,6,1,117.027,0.343
neutral,0.433,0.634,0.663,0.124,11,1,146.053,0.6
neutral,0.865,0.817,0.551,0.000151,7,0,109.966,0.142
neutral,0.492,0.636,0.753,0.658,7,1,125.906,0.714
neutral,0.415,0.768,0.506,0.0376,6,1,77.1,0.862
neutral,0.0515,0.58,0.561,0,8,1,94.929,0.331
neutral,0.0512,0.359,0.727,0.81,2,1,109.853,0.698
neutral,0.741,0.704,0.321,0,7,0,91.957,0.331
neutral,0.411,0.738,0.288,0,2,0,79.975,0.311
neutral,0.0117,0.777,0.639,0.000222,2,1,105.014,0.601
neutral,0.838,0.718,0.334,0.00228,9,1,112.899,0.53
neutral,0.101,0.658,0.429,0.0184,2,1,105.021,0.518
neutral,0.731,0.587,0.565,0.341,7,1,92.604,0.508
neutral,0.108,0.808,0.538,0.0743,0,0,108.026,0.416
neutral,0.512,0.451,0.422,0.162,3,0,119.998,0.119
neutral,0.0894,0.725,0.808,0.274,4,1,116.993,0.146
neutral,0.764,0.563,0.537,0.000193,6,1,115.986,0.0907
neutral,0.313,0.771,0.729,0.00452,4,1,124.047,0.689
neutral,0.55,0.292,0.338,0.546,6,0,119.924,0.035
neutral,0.192,0.706,0.662,0.00544,0,1,110.025,0.0536
neutral,0.416,0.686,0.472,0.0908,0,0,100.106,0.0832
neutral,0.103,0.702,0.52,0.153,7,1,115.07,0.0489
neutral,0.734,0.742,0.317,0.00269,1,0,122.958,0.195
neutral,0.346,0.788,0.566,0.803,1,1,120.008,0.343
neutral,0.127,0.588,0.473,0.0616,7,0,100.032,0.183
neutral,0.0798,0.715,0.616,0.79,0,1,120.031,0.0312
neutral,0.0147,0.637,0.741,0.000158,2,1,127.932,0.496
